model_type,architecture,elo_k,trend_half_life_days,logistic_c,fold,validation_log_loss,validation_brier,validation_auc,validation_accuracy,validation_games,validation_home_win_rate,validation_mean_probability,validation_correct_games,elo_weight
direct_logistic,k10_hl20,10.0,20.0,0.01,fold1_jan,0.6542910530448024,0.23102235870084753,0.6464525765496639,0.6137339055793991,233,0.5579399141630901,0.5472366063800734,143,
direct_logistic,k10_hl20,10.0,20.0,0.01,fold2_feb,0.6180756649466181,0.21359427458284824,0.7801573426573427,0.7048192771084337,166,0.46987951807228917,0.5538777587555374,117,
direct_logistic,k10_hl20,10.0,20.0,0.03,fold1_jan,0.6576258133359703,0.23230521177599048,0.6459297983569828,0.6137339055793991,233,0.5579399141630901,0.546436837911824,143,
direct_logistic,k10_hl20,10.0,20.0,0.03,fold2_feb,0.6069771161528175,0.20841581444068763,0.7814685314685315,0.7168674698795181,166,0.46987951807228917,0.5545208410037402,119,
direct_logistic,k10_hl20,10.0,20.0,0.1,fold1_jan,0.6616757040537408,0.23373866455654213,0.6463778939507095,0.6223175965665236,233,0.5579399141630901,0.547473642655841,145,
direct_logistic,k10_hl20,10.0,20.0,0.1,fold2_feb,0.6020761451997872,0.2061999632064543,0.7813228438228438,0.7168674698795181,166,0.46987951807228917,0.5570110472245128,119,
direct_logistic,k10_hl20,10.0,20.0,0.3,fold1_jan,0.6644320124873857,0.2346286264000478,0.6472740851381628,0.6137339055793991,233,0.5579399141630901,0.5496020803681038,143,
direct_logistic,k10_hl20,10.0,20.0,0.3,fold2_feb,0.600772477616848,0.2056893986644337,0.7791375291375291,0.7168674698795181,166,0.46987951807228917,0.5600027700119693,119,
direct_logistic,k10_hl20,10.0,20.0,1.0,fold1_jan,0.6668301070772293,0.23541072604090382,0.6486930545182973,0.6223175965665236,233,0.5579399141630901,0.5515313757870188,145,
direct_logistic,k10_hl20,10.0,20.0,1.0,fold2_feb,0.6007134325357937,0.20573356694135195,0.7762237762237763,0.6927710843373494,166,0.46987951807228917,0.5621979454450267,115,
direct_logistic,k10_hl20,10.0,20.0,3.0,fold1_jan,0.6680310995384253,0.23580971945825188,0.647647498132935,0.630901287553648,233,0.5579399141630901,0.5523883294672336,147,
direct_logistic,k10_hl20,10.0,20.0,3.0,fold2_feb,0.6008350374590554,0.2058171083920599,0.7740384615384615,0.6927710843373494,166,0.46987951807228917,0.5630684682181957,115,
direct_logistic,k10_hl20,10.0,20.0,10.0,fold1_jan,0.6685552204948214,0.23598495568972427,0.6480955937266617,0.630901287553648,233,0.5579399141630901,0.552739841221207,147,
direct_logistic,k10_hl20,10.0,20.0,10.0,fold2_feb,0.6009029067624704,0.20585886786156068,0.7741841491841491,0.6927710843373494,166,0.46987951807228917,0.5634095630388273,115,
blend_platt_challenger,k10_hl20,10.0,20.0,,fold1_jan,0.6636438900367658,0.23476802852705403,0.6415982076176252,0.6180257510729614,233,0.5579399141630901,0.5413907715557459,144,0.2
blend_platt_challenger,k10_hl20,10.0,20.0,,fold2_feb,0.6066159026558613,0.2080918004588553,0.7763694638694639,0.7108433734939759,166,0.46987951807228917,0.5479116620702024,118,0.2
direct_logistic,k10_hl45,10.0,45.0,0.01,fold1_jan,0.6550808302037531,0.23141030077464417,0.6442120985810307,0.6137339055793991,233,0.5579399141630901,0.5471847557101706,143,
direct_logistic,k10_hl45,10.0,45.0,0.01,fold2_feb,0.6176159665240821,0.21339114872504772,0.7798659673659672,0.7048192771084337,166,0.46987951807228917,0.5535637919277063,117,
direct_logistic,k10_hl45,10.0,45.0,0.03,fold1_jan,0.6588303604110324,0.23290190632023772,0.6433905899925317,0.6266094420600858,233,0.5579399141630901,0.5464156290969708,146,
direct_logistic,k10_hl45,10.0,45.0,0.03,fold2_feb,0.6064877226184766,0.20821983397293128,0.7814685314685313,0.7108433734939759,166,0.46987951807228917,0.5539904823720936,118,
direct_logistic,k10_hl45,10.0,45.0,0.1,fold1_jan,0.6633375209801305,0.2345568688005943,0.6434652725914862,0.6223175965665236,233,0.5579399141630901,0.5474145014123177,145,
direct_logistic,k10_hl45,10.0,45.0,0.1,fold2_feb,0.6016785537252831,0.2060467070949167,0.7813228438228439,0.7108433734939759,166,0.46987951807228917,0.556384718036249,118,
direct_logistic,k10_hl45,10.0,45.0,0.3,fold1_jan,0.6662969524027708,0.2355494416368768,0.6427931292008963,0.6180257510729614,233,0.5579399141630901,0.5494662318575528,144,
direct_logistic,k10_hl45,10.0,45.0,0.3,fold2_feb,0.600421976260959,0.20554670270057218,0.779574592074592,0.7228915662650602,166,0.46987951807228917,0.5594505407909244,120,
direct_logistic,k10_hl45,10.0,45.0,1.0,fold1_jan,0.6687107998278953,0.2363488435120685,0.6424197162061239,0.6223175965665236,233,0.5579399141630901,0.5513383812719291,145,
direct_logistic,k10_hl45,10.0,45.0,1.0,fold2_feb,0.6003763124894458,0.2055895821437436,0.7766608391608392,0.6927710843373494,166,0.46987951807228917,0.5617703021035366,115,
direct_logistic,k10_hl45,10.0,45.0,3.0,fold1_jan,0.6698864581170466,0.23674128631696265,0.6434652725914862,0.6137339055793991,233,0.5579399141630901,0.5521738919749761,143,
direct_logistic,k10_hl45,10.0,45.0,3.0,fold2_feb,0.6005030846820163,0.2056731071493287,0.7753496503496504,0.6927710843373494,166,0.46987951807228917,0.5627047461897556,115,
direct_logistic,k10_hl45,10.0,45.0,10.0,fold1_jan,0.6703953029264875,0.23691169475051832,0.643091859596714,0.6137339055793991,233,0.5579399141630901,0.5525172961817189,143,
direct_logistic,k10_hl45,10.0,45.0,10.0,fold2_feb,0.6005733892397664,0.2057151477805564,0.7746212121212122,0.6927710843373494,166,0.46987951807228917,0.5630730777098584,115,
blend_platt_challenger,k10_hl45,10.0,45.0,,fold1_jan,0.6645809711598918,0.23524302188959786,0.6404032860343539,0.6180257510729614,233,0.5579399141630901,0.5414232716288696,144,0.2
blend_platt_challenger,k10_hl45,10.0,45.0,,fold2_feb,0.6057057697577433,0.2077313133643331,0.7753496503496503,0.7108433734939759,166,0.46987951807228917,0.5470923088006003,118,0.2
direct_logistic,k10_hl90,10.0,90.0,0.01,fold1_jan,0.6553731041274524,0.231545897820075,0.6431665421956685,0.6137339055793991,233,0.5579399141630901,0.5472228559452483,143,
direct_logistic,k10_hl90,10.0,90.0,0.01,fold2_feb,0.6175740600787104,0.2133740742432458,0.7795745920745921,0.7048192771084337,166,0.46987951807228917,0.553532829669551,117,
direct_logistic,k10_hl90,10.0,90.0,0.03,fold1_jan,0.6592137451538175,0.2330777919197394,0.6422703510082151,0.6223175965665236,233,0.5579399141630901,0.5464937987466173,145,
direct_logistic,k10_hl90,10.0,90.0,0.03,fold2_feb,0.6064543585900908,0.2082106825683492,0.7813228438228439,0.7108433734939759,166,0.46987951807228917,0.5539445712422636,118,
direct_logistic,k10_hl90,10.0,90.0,0.1,fold1_jan,0.6638099633418434,0.23477461227238813,0.6412994772218072,0.6223175965665236,233,0.5579399141630901,0.5474981533754469,145,
direct_logistic,k10_hl90,10.0,90.0,0.1,fold2_feb,0.6016768572535371,0.20605163848991112,0.7816142191142192,0.7108433734939759,166,0.46987951807228917,0.5563348258334703,118,
direct_logistic,k10_hl90,10.0,90.0,0.3,fold1_jan,0.6668021980205532,0.23578534172770418,0.6418969380134427,0.6180257510729614,233,0.5579399141630901,0.5495291619634585,144,
direct_logistic,k10_hl90,10.0,90.0,0.3,fold2_feb,0.6004363273367034,0.20555549997632389,0.7795745920745921,0.7228915662650602,166,0.46987951807228917,0.559429229925582,120,
direct_logistic,k10_hl90,10.0,90.0,1.0,fold1_jan,0.6692064434763372,0.23658371991094107,0.6411501120238985,0.6180257510729614,233,0.5579399141630901,0.5513823737020124,144,
direct_logistic,k10_hl90,10.0,90.0,1.0,fold2_feb,0.6003947274227095,0.20559765967839605,0.7766608391608392,0.6927710843373494,166,0.46987951807228917,0.5617911476483524,115,
direct_logistic,k10_hl90,10.0,90.0,3.0,fold1_jan,0.670369633456058,0.23697202489442368,0.6412247946228529,0.6180257510729614,233,0.5579399141630901,0.5522102666578622,144,
direct_logistic,k10_hl90,10.0,90.0,3.0,fold2_feb,0.6005229153135472,0.20568092264193855,0.7753496503496503,0.6927710843373494,166,0.46987951807228917,0.5627474600246857,115,
direct_logistic,k10_hl90,10.0,90.0,10.0,fold1_jan,0.6708720979921255,0.23714016015993933,0.640926064227035,0.6223175965665236,233,0.5579399141630901,0.552550717143059,145,
direct_logistic,k10_hl90,10.0,90.0,10.0,fold2_feb,0.6005939022093604,0.20572294124426735,0.7744755244755244,0.6927710843373494,166,0.46987951807228917,0.5631251830912302,115,
blend_platt_challenger,k10_hl90,10.0,90.0,,fold1_jan,0.6648444070889475,0.2353632017732136,0.6380881254667663,0.6223175965665236,233,0.5579399141630901,0.5415386854814005,145,0.2
blend_platt_challenger,k10_hl90,10.0,90.0,,fold2_feb,0.605501824915769,0.20765012613404837,0.7753496503496504,0.7048192771084337,166,0.46987951807228917,0.5470003895344147,117,0.2
direct_logistic,k20_hl20,20.0,20.0,0.01,fold1_jan,0.6568124695366071,0.23225346130131622,0.6400298730395818,0.6051502145922747,233,0.5579399141630901,0.5482598141268719,141,
direct_logistic,k20_hl20,20.0,20.0,0.01,fold2_feb,0.6221453447015265,0.21564196011200637,0.7787004662004662,0.6807228915662651,166,0.46987951807228917,0.5541367044451514,113,
direct_logistic,k20_hl20,20.0,20.0,0.03,fold1_jan,0.6593971428642513,0.23332357094015332,0.6382374906646751,0.6137339055793991,233,0.5579399141630901,0.5484106538046182,143,
direct_logistic,k20_hl20,20.0,20.0,0.03,fold2_feb,0.6123513477421357,0.21116466138307843,0.7756410256410257,0.7048192771084337,166,0.46987951807228917,0.5552610037826583,117,
direct_logistic,k20_hl20,20.0,20.0,0.1,fold1_jan,0.6634620506794936,0.23502444565058989,0.6349514563106795,0.6051502145922747,233,0.5579399141630901,0.550748551019397,141,
direct_logistic,k20_hl20,20.0,20.0,0.1,fold2_feb,0.6097742647111151,0.2101433936134219,0.7711247086247085,0.6927710843373494,166,0.46987951807228917,0.5579013593009777,115,
direct_logistic,k20_hl20,20.0,20.0,0.3,fold1_jan,0.6673548385206534,0.23673832991362342,0.6300224047796863,0.6094420600858369,233,0.5579399141630901,0.5539678372745483,142,
direct_logistic,k20_hl20,20.0,20.0,0.3,fold2_feb,0.6105326559547828,0.21065500546871221,0.7651515151515151,0.6927710843373494,166,0.46987951807228917,0.560390111282087,115,
direct_logistic,k20_hl20,20.0,20.0,1.0,fold1_jan,0.6709986753895294,0.23836795801089536,0.625242718446602,0.6051502145922747,233,0.5579399141630901,0.556538931982803,141,
direct_logistic,k20_hl20,20.0,20.0,1.0,fold2_feb,0.6115952762899304,0.21124353263212073,0.7636946386946387,0.6867469879518072,166,0.46987951807228917,0.5619398468352909,114,
direct_logistic,k20_hl20,20.0,20.0,3.0,fold1_jan,0.6727454804222214,0.23914771101842416,0.6241224794622854,0.6051502145922747,233,0.5579399141630901,0.5576122794155628,141,
direct_logistic,k20_hl20,20.0,20.0,3.0,fold2_feb,0.61206507696808,0.21149486727880992,0.7626748251748252,0.6867469879518072,166,0.46987951807228917,0.5625030194953926,114,
direct_logistic,k20_hl20,20.0,20.0,10.0,fold1_jan,0.6734859834618847,0.23947745842263782,0.6224794622852875,0.6051502145922747,233,0.5579399141630901,0.5580420003139814,141,
direct_logistic,k20_hl20,20.0,20.0,10.0,fold2_feb,0.6122538443741303,0.21159485943457093,0.761509324009324,0.6867469879518072,166,0.46987951807228917,0.5627165161908172,114,
blend_platt_challenger,k20_hl20,20.0,20.0,,fold1_jan,0.663851754771085,0.23499842399545168,0.6398805078416728,0.6180257510729614,233,0.5579399141630901,0.5419652229472162,144,0.2
blend_platt_challenger,k20_hl20,20.0,20.0,,fold2_feb,0.607427673108365,0.20856430159062017,0.7760780885780886,0.7108433734939759,166,0.46987951807228917,0.5477940845998929,118,0.2
direct_logistic,k20_hl45,20.0,45.0,0.01,fold1_jan,0.6577166412989993,0.23269473966920742,0.6371172516803585,0.6180257510729614,233,0.5579399141630901,0.5481760976497103,144,
direct_logistic,k20_hl45,20.0,45.0,0.01,fold2_feb,0.6218163361355513,0.21548682016343348,0.7776806526806527,0.6807228915662651,166,0.46987951807228917,0.5539771025176148,113,
direct_logistic,k20_hl45,20.0,45.0,0.03,fold1_jan,0.6607415258320355,0.23397534023307714,0.6366691560866318,0.6137339055793991,233,0.5579399141630901,0.5483023815738204,143,
direct_logistic,k20_hl45,20.0,45.0,0.03,fold2_feb,0.611993381923195,0.2109992340927441,0.7763694638694639,0.7048192771084337,166,0.46987951807228917,0.5550630592757946,117,
direct_logistic,k20_hl45,20.0,45.0,0.1,fold1_jan,0.6650270398791092,0.23577223897044547,0.6316654219566842,0.6051502145922747,233,0.5579399141630901,0.550534817485819,141,
direct_logistic,k20_hl45,20.0,45.0,0.1,fold2_feb,0.6094555869258432,0.20998511823707494,0.7722902097902098,0.6987951807228916,166,0.46987951807228917,0.557955422197119,116,
direct_logistic,k20_hl45,20.0,45.0,0.3,fold1_jan,0.6686413013784804,0.2373492075024082,0.6255414488424196,0.6051502145922747,233,0.5579399141630901,0.5536909803929151,141,
direct_logistic,k20_hl45,20.0,45.0,0.3,fold2_feb,0.6103856771387367,0.21057039078901144,0.7667540792540792,0.6867469879518072,166,0.46987951807228917,0.5609136541779212,114,
direct_logistic,k20_hl45,20.0,45.0,1.0,fold1_jan,0.6718668677184443,0.2387811361017207,0.6233009708737864,0.6051502145922747,233,0.5579399141630901,0.5562822223568538,141,
direct_logistic,k20_hl45,20.0,45.0,1.0,fold2_feb,0.6116770547134579,0.21126505160136172,0.7632575757575757,0.6807228915662651,166,0.46987951807228917,0.5628634144445834,113,
direct_logistic,k20_hl45,20.0,45.0,3.0,fold1_jan,0.6734107519888342,0.2394659084505517,0.6216579536967887,0.6008583690987125,233,0.5579399141630901,0.5573834486360923,140,
direct_logistic,k20_hl45,20.0,45.0,3.0,fold2_feb,0.6122620255372077,0.21157030309291103,0.7625291375291375,0.6867469879518072,166,0.46987951807228917,0.5635932087987395,114,
direct_logistic,k20_hl45,20.0,45.0,10.0,fold1_jan,0.6740672688051101,0.23975646677775092,0.6208364451082897,0.6008583690987125,233,0.5579399141630901,0.5578276496024424,140,
direct_logistic,k20_hl45,20.0,45.0,10.0,fold2_feb,0.6124996348785496,0.2116931715027436,0.7620920745920746,0.6867469879518072,166,0.46987951807228917,0.5638729189773325,114,
blend_platt_challenger,k20_hl45,20.0,45.0,,fold1_jan,0.665085425888158,0.23561109676844325,0.6356982823002241,0.6223175965665236,233,0.5579399141630901,0.5419980823482224,145,0.2
blend_platt_challenger,k20_hl45,20.0,45.0,,fold2_feb,0.6066965527093603,0.20829429980439737,0.7743298368298368,0.6987951807228916,166,0.46987951807228917,0.546986371214861,116,0.2
direct_logistic,k20_hl90,20.0,90.0,0.01,fold1_jan,0.6580377614955951,0.2328459271170626,0.6369678864824496,0.6180257510729614,233,0.5579399141630901,0.5481956248777418,144,
direct_logistic,k20_hl90,20.0,90.0,0.01,fold2_feb,0.6217827818002641,0.21547012177500735,0.7778263403263403,0.6807228915662651,166,0.46987951807228917,0.5539626727147808,113,
direct_logistic,k20_hl90,20.0,90.0,0.03,fold1_jan,0.6611564764345211,0.23416726843129065,0.6354742345033606,0.6180257510729614,233,0.5579399141630901,0.5483387480750451,144,
direct_logistic,k20_hl90,20.0,90.0,0.03,fold2_feb,0.6119693233644116,0.21098615240670546,0.7768065268065268,0.7048192771084337,166,0.46987951807228917,0.5550634830519174,117,
direct_logistic,k20_hl90,20.0,90.0,0.1,fold1_jan,0.6654591863065835,0.23597011194731743,0.6305451829723676,0.6008583690987125,233,0.5579399141630901,0.5505500695400422,140,
direct_logistic,k20_hl90,20.0,90.0,0.1,fold2_feb,0.6094392373326034,0.20997170874025178,0.7722902097902098,0.6987951807228916,166,0.46987951807228917,0.5580467821609312,116,
direct_logistic,k20_hl90,20.0,90.0,0.3,fold1_jan,0.6689601694389222,0.23749434160743169,0.6253920836445108,0.6008583690987125,233,0.5579399141630901,0.5536845928073013,140,
direct_logistic,k20_hl90,20.0,90.0,0.3,fold2_feb,0.6104104641165079,0.21057479826693393,0.7663170163170163,0.6867469879518072,166,0.46987951807228917,0.5611704051687723,114,
direct_logistic,k20_hl90,20.0,90.0,1.0,fold1_jan,0.6720383431950192,0.23885832341533583,0.6219566840926064,0.6051502145922747,233,0.5579399141630901,0.5562775443672223,141,
direct_logistic,k20_hl90,20.0,90.0,1.0,fold2_feb,0.6117694470227348,0.21130178589571016,0.76238344988345,0.6807228915662651,166,0.46987951807228917,0.5632704190129281,113,
direct_logistic,k20_hl90,20.0,90.0,3.0,fold1_jan,0.6735108637742964,0.23951025633185735,0.6212845407020164,0.6008583690987125,233,0.5579399141630901,0.5573854112291741,140,
direct_logistic,k20_hl90,20.0,90.0,3.0,fold2_feb,0.6123913870904106,0.21162481813023692,0.7616550116550116,0.6807228915662651,166,0.46987951807228917,0.5640651481490652,113,
direct_logistic,k20_hl90,20.0,90.0,10.0,fold1_jan,0.674137666494358,0.23978714746454774,0.6207617625093352,0.6008583690987125,233,0.5579399141630901,0.557833335928793,140,
direct_logistic,k20_hl90,20.0,90.0,10.0,fold2_feb,0.6126451290832798,0.21175543637277472,0.7597610722610723,0.6867469879518072,166,0.46987951807228917,0.5643710265963796,114,
blend_platt_challenger,k20_hl90,20.0,90.0,,fold1_jan,0.6654493776625318,0.23577768293456935,0.6345780433159074,0.6180257510729614,233,0.5579399141630901,0.5421140606030933,144,0.2
blend_platt_challenger,k20_hl90,20.0,90.0,,fold2_feb,0.6065491502688853,0.20824094510759847,0.7736013986013986,0.6987951807228916,166,0.46987951807228917,0.5468984589875645,116,0.2
direct_logistic,k30_hl20,30.0,20.0,0.01,fold1_jan,0.6586524816434244,0.2331559617115646,0.6342793129200897,0.6137339055793991,233,0.5579399141630901,0.5489750095217886,143,
direct_logistic,k30_hl20,30.0,20.0,0.01,fold2_feb,0.6251313832687779,0.21713889574861525,0.7727272727272727,0.6987951807228916,166,0.46987951807228917,0.5538708517667794,116,
direct_logistic,k30_hl20,30.0,20.0,0.03,fold1_jan,0.6611205745982575,0.23423727929978486,0.6315907393577296,0.6094420600858369,233,0.5579399141630901,0.5496843880416346,142,
direct_logistic,k30_hl20,30.0,20.0,0.03,fold2_feb,0.6162058565489923,0.21310567742355113,0.7701048951048952,0.6927710843373494,166,0.46987951807228917,0.5549472283947898,115,
direct_logistic,k30_hl20,30.0,20.0,0.1,fold1_jan,0.6656802716154051,0.23626214780269478,0.6253920836445107,0.5965665236051502,233,0.5579399141630901,0.552445602568211,139,
direct_logistic,k30_hl20,30.0,20.0,0.1,fold2_feb,0.61445611194429,0.2124689766993584,0.7636946386946386,0.6987951807228916,166,0.46987951807228917,0.5569960611324919,116,
direct_logistic,k30_hl20,30.0,20.0,0.3,fold1_jan,0.6701449972206865,0.23830491858883868,0.6188946975354742,0.6008583690987125,233,0.5579399141630901,0.5555365260346681,140,
direct_logistic,k30_hl20,30.0,20.0,0.3,fold2_feb,0.6153099255835534,0.21298728247575513,0.7597610722610723,0.7048192771084337,166,0.46987951807228917,0.558606902475044,117,
direct_logistic,k30_hl20,30.0,20.0,1.0,fold1_jan,0.6737537401783201,0.23995824545480507,0.6127707244212098,0.6094420600858369,233,0.5579399141630901,0.5576950592628632,142,
direct_logistic,k30_hl20,30.0,20.0,1.0,fold2_feb,0.6161246872393575,0.213428779155473,0.7558275058275059,0.7168674698795181,166,0.46987951807228917,0.5594947746937428,119,
direct_logistic,k30_hl20,30.0,20.0,3.0,fold1_jan,0.6753021795891821,0.2406642592568445,0.6090365944734877,0.6094420600858369,233,0.5579399141630901,0.558529817474493,142,
direct_logistic,k30_hl20,30.0,20.0,3.0,fold2_feb,0.6164451275593866,0.21359851336760582,0.7553904428904429,0.7108433734939759,166,0.46987951807228917,0.5597985922239566,118,
direct_logistic,k30_hl20,30.0,20.0,10.0,fold1_jan,0.6759284747319151,0.2409490764135177,0.6076176250933534,0.6051502145922747,233,0.5579399141630901,0.55885390812123,141,
direct_logistic,k30_hl20,30.0,20.0,10.0,fold2_feb,0.6165689042769598,0.21366366459666325,0.7546620046620046,0.7108433734939759,166,0.46987951807228917,0.5599113119687004,118,
blend_platt_challenger,k30_hl20,30.0,20.0,,fold1_jan,0.6641356249926889,0.2352145300786706,0.6386855862584018,0.6223175965665236,233,0.5579399141630901,0.5423578517801876,145,0.2
blend_platt_challenger,k30_hl20,30.0,20.0,,fold2_feb,0.6080279484335941,0.20892252816483725,0.7738927738927739,0.7048192771084337,166,0.46987951807228917,0.5474883651434665,117,0.2
direct_logistic,k30_hl45,30.0,45.0,0.01,fold1_jan,0.6595133185271758,0.23357422345687234,0.6327856609410006,0.6094420600858369,233,0.5579399141630901,0.5488797648184842,142,
direct_logistic,k30_hl45,30.0,45.0,0.01,fold2_feb,0.6248476398582127,0.21699505456063398,0.7733100233100234,0.6927710843373494,166,0.46987951807228917,0.5538355984680469,115,
direct_logistic,k30_hl45,30.0,45.0,0.03,fold1_jan,0.6622569511044923,0.23478222690399453,0.6292008961911875,0.6051502145922747,233,0.5579399141630901,0.5495513122322617,141,
direct_logistic,k30_hl45,30.0,45.0,0.03,fold2_feb,0.6159173290398438,0.21295360986552542,0.7699592074592074,0.6927710843373494,166,0.46987951807228917,0.5550282006552281,115,
direct_logistic,k30_hl45,30.0,45.0,0.1,fold1_jan,0.666629649728352,0.236709978823077,0.6227035100821507,0.6008583690987125,233,0.5579399141630901,0.5522533014765839,140,
direct_logistic,k30_hl45,30.0,45.0,0.1,fold2_feb,0.6143813069419565,0.21240686791217842,0.7636946386946386,0.7048192771084337,166,0.46987951807228917,0.557552975598268,117,
direct_logistic,k30_hl45,30.0,45.0,0.3,fold1_jan,0.6704823186268483,0.2384655158036256,0.6187453323375652,0.6008583690987125,233,0.5579399141630901,0.5554131319714413,140,
direct_logistic,k30_hl45,30.0,45.0,0.3,fold2_feb,0.6156658220745884,0.2131247359131594,0.7590326340326341,0.7048192771084337,166,0.46987951807228917,0.5597378457087563,117,
direct_logistic,k30_hl45,30.0,45.0,1.0,fold1_jan,0.6735812626613099,0.23988509010952724,0.6135175504107542,0.6094420600858369,233,0.5579399141630901,0.5577146372633314,142,
direct_logistic,k30_hl45,30.0,45.0,1.0,fold2_feb,0.6168600836731009,0.2137444648568461,0.7543706293706295,0.7048192771084337,166,0.46987951807228917,0.5610222877226995,117,
direct_logistic,k30_hl45,30.0,45.0,3.0,fold1_jan,0.6749340197182634,0.24050238873264806,0.6104555638536222,0.6094420600858369,233,0.5579399141630901,0.5586273484173364,142,
direct_logistic,k30_hl45,30.0,45.0,3.0,fold2_feb,0.6173390580900733,0.21398870712003848,0.7530594405594406,0.6987951807228916,166,0.46987951807228917,0.5614757775281757,116,
direct_logistic,k30_hl45,30.0,45.0,10.0,fold1_jan,0.6754862310378993,0.24075376700346565,0.6079910380881255,0.6094420600858369,233,0.5579399141630901,0.5589852786114388,142,
direct_logistic,k30_hl45,30.0,45.0,10.0,fold2_feb,0.6175257533815054,0.21408341679830065,0.7527680652680654,0.6987951807228916,166,0.46987951807228917,0.5616459018076044,116,
blend_platt_challenger,k30_hl45,30.0,45.0,,fold1_jan,0.6655685648217176,0.23591868858945267,0.6326362957430919,0.6180257510729614,233,0.5579399141630901,0.542394424193388,144,0.2
blend_platt_challenger,k30_hl45,30.0,45.0,,fold2_feb,0.6074292715736884,0.20872012480297303,0.7731643356643357,0.6927710843373494,166,0.46987951807228917,0.5466862773247103,115,0.2
direct_logistic,k30_hl90,30.0,90.0,0.01,fold1_jan,0.6598136351000087,0.23371604868828327,0.6325616131441374,0.6051502145922747,233,0.5579399141630901,0.5488877598944125,141,
direct_logistic,k30_hl90,30.0,90.0,0.01,fold2_feb,0.6247982036893356,0.21696860346054211,0.7740384615384617,0.6746987951807228,166,0.46987951807228917,0.5538331489340524,112,
direct_logistic,k30_hl90,30.0,90.0,0.03,fold1_jan,0.6625964682242718,0.2349388448417404,0.6288274831964152,0.6008583690987125,233,0.5579399141630901,0.5495652488306668,140,
direct_logistic,k30_hl90,30.0,90.0,0.03,fold2_feb,0.6158780120527086,0.21292914081058237,0.7703962703962703,0.6987951807228916,166,0.46987951807228917,0.5550692074706617,116,
direct_logistic,k30_hl90,30.0,90.0,0.1,fold1_jan,0.6668641158565823,0.23681593114572422,0.6227781926811053,0.6008583690987125,233,0.5579399141630901,0.5522515627419656,140,
direct_logistic,k30_hl90,30.0,90.0,0.1,fold2_feb,0.6144010903560214,0.2124071764119905,0.7642773892773893,0.7048192771084337,166,0.46987951807228917,0.5577493878469962,117,
direct_logistic,k30_hl90,30.0,90.0,0.3,fold1_jan,0.6704957620831562,0.23847036420679224,0.6188200149365197,0.6008583690987125,233,0.5579399141630901,0.5554235354101562,140,
direct_logistic,k30_hl90,30.0,90.0,0.3,fold2_feb,0.6158207620354265,0.21318882247669874,0.7599067599067599,0.6987951807228916,166,0.46987951807228917,0.5601409195477806,116,
direct_logistic,k30_hl90,30.0,90.0,1.0,fold1_jan,0.6734069766232458,0.23980513815155097,0.6135175504107543,0.6094420600858369,233,0.5579399141630901,0.5577618574275791,142,
direct_logistic,k30_hl90,30.0,90.0,1.0,fold2_feb,0.6171473939585181,0.21387173138266882,0.7555361305361306,0.7048192771084337,166,0.46987951807228917,0.5615797637277944,117,
direct_logistic,k30_hl90,30.0,90.0,3.0,fold1_jan,0.6746843025569708,0.2403885618293842,0.6100074682598955,0.6094420600858369,233,0.5579399141630901,0.5586962543387777,142,
direct_logistic,k30_hl90,30.0,90.0,3.0,fold2_feb,0.6176845817682691,0.21414372196408912,0.7540792540792541,0.6987951807228916,166,0.46987951807228917,0.5620938014827188,116,
direct_logistic,k30_hl90,30.0,90.0,10.0,fold1_jan,0.6752072462206851,0.2406268260877742,0.6084391336818522,0.6094420600858369,233,0.5579399141630901,0.5590638327056042,142,
direct_logistic,k30_hl90,30.0,90.0,10.0,fold2_feb,0.6178948130326279,0.2142496365445285,0.7527680652680653,0.6987951807228916,166,0.46987951807228917,0.5622874702588297,116,
blend_platt_challenger,k30_hl90,30.0,90.0,,fold1_jan,0.6659933250773947,0.23611298888834287,0.6317401045556387,0.6137339055793991,233,0.5579399141630901,0.5425122747394656,143,0.2
blend_platt_challenger,k30_hl90,30.0,90.0,,fold2_feb,0.6073140259004514,0.20868262442849414,0.7722902097902098,0.6927710843373494,166,0.46987951807228917,0.5466014220985582,115,0.2
